,SizeRank,RegionName,State,City,Metro,CountyName,AveragePrice,Down_payment_20%
7215,7226,28023,NC,China Grove,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,237595.0520439304,47519.01040878608
7251,7262,27021,NC,King,"Winston-Salem, NC",Stokes County,228287.90494992645,45657.58098998529
7367,7380,27592,NC,Willow Spring,"Raleigh-Cary, NC",Johnston County,372272.1902003639,74454.43804007278
7371,7384,28557,NC,Morehead City,"Morehead City, NC",Carteret County,367920.2784389372,73584.05568778745
7434,7447,28387,NC,Southern Pines,"Pinehurst-Southern Pines, NC",Moore County,420564.43559716473,84112.88711943295
7548,7561,28360,NC,Lumberton,"Lumberton, NC",Robeson County,161345.886666915,32269.177333383002
7576,7590,28714,NC,Burnsville,,Yancey County,275295.52304484014,55059.10460896803
7612,7626,28791,NC,Hendersonville,"Asheville, NC",Henderson County,399871.5399111144,79974.30798222288
7625,7639,28711,NC,Black Mountain,"Asheville, NC",Buncombe County,433187.4942066502,86637.49884133005
7633,7647,28364,NC,Maxton,"Lumberton, NC",Robeson County,95307.57271740842,19061.514543481684
7645,7659,28164,NC,Stanley,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,325425.8949037641,65085.178980752826
7690,7703,27006,NC,Advance,"Winston-Salem, NC",Davie County,365734.7047788415,73146.94095576831
7709,7723,28374,NC,Pinehurst,"Pinehurst-Southern Pines, NC",Moore County,493776.26060263225,98755.25212052645
7732,7747,28203,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,739543.3547491054,147908.6709498211
7766,7781,27370,NC,Trinity,"Greensboro-High Point, NC",Randolph County,226535.6596313044,45307.13192626089
7771,7787,27536,NC,Henderson,"Henderson, NC",Vance County,76677.95518091,15335.591036181999
7782,7797,27249,NC,Gibsonville,"Greensboro-High Point, NC",Guilford County,239112.7584360597,47822.55168721194
7793,7809,28612,NC,,"Hickory-Lenoir-Morganton, NC",Burke County,203114.62301031625,40622.924602063256
7837,7853,28462,NC,Supply,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,463619.171408293,92723.83428165861
7868,7885,27525,NC,Franklinton,"Raleigh-Cary, NC",Franklin County,321899.23591462505,64379.84718292501
7899,7916,28315,NC,Aberdeen,"Pinehurst-Southern Pines, NC",Moore County,301948.84268605924,60389.76853721185
7901,7919,28021,NC,Cherryville,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,215305.7630157247,43061.15260314494
7962,7978,28134,NC,Pineville,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,382471.9908661543,76494.39817323086
8009,8027,27892,NC,Williamston,,Martin County,96908.08071886247,19381.616143772495
8119,8137,27524,NC,Four Oaks,"Raleigh-Cary, NC",Johnston County,249740.5680776153,49948.11361552306
8124,8142,28016,NC,Bessemer City,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,211783.8906295596,42356.77812591192
8151,8169,27863,NC,Pikeville,"Goldsboro, NC",Wayne County,188719.0965167741,37743.81930335482
8171,8189,27214,NC,Browns Summit,"Greensboro-High Point, NC",Guilford County,268729.84633363667,53745.969266727334
8185,8203,28748,NC,Leicester,"Asheville, NC",Buncombe County,387475.8692915297,77495.17385830595
8233,8252,28377,NC,Red Springs,"Lumberton, NC",Robeson County,72927.14532101077,14585.429064202155
8239,8258,27510,NC,Carrboro,"Durham-Chapel Hill, NC",Orange County,447930.4641136114,89586.09282272228
8264,8283,28801,NC,Asheville,"Asheville, NC",Buncombe County,518239.936276365,103647.98725527301
8293,8312,27522,NC,Creedmoor,"Durham-Chapel Hill, NC",Granville County,313893.8037396789,62778.760747935776
8316,8336,28206,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,299024.6563110756,59804.93126221513
8366,8387,27822,NC,Elm City,"Wilson, NC",Wilson County,191848.66751728472,38369.73350345695
8397,8419,27055,NC,Yadkinville,"Winston-Salem, NC",Yadkin County,204131.6076216896,40826.32152433792
8470,8492,28584,NC,,"Morehead City, NC",Carteret County,363238.59945101454,72647.7198902029
8523,8544,28384,NC,Saint Pauls,"Lumberton, NC",Robeson County,110919.79412166374,22183.95882433275
8551,8574,27023,NC,Lewisville,"Winston-Salem, NC",Forsyth County,332429.2854560257,66485.85709120514
8566,8589,28638,NC,,"Hickory-Lenoir-Morganton, NC",Caldwell County,211232.8612607438,42246.57225214876
8585,8609,28697,NC,Wilkesboro,"North Wilkesboro, NC",Wilkes County,244637.90349143065,48927.58069828613
8606,8629,27932,NC,Edenton,,Chowan County,175406.84777018198,35081.3695540364
8617,8642,28372,NC,Pembroke,"Lumberton, NC",Robeson County,138037.81923949168,27607.56384789834
8687,8713,28103,NC,Marshville,"Charlotte-Concord-Gastonia, NC-SC",Union County,248813.14773599143,49762.62954719829
8702,8729,27040,NC,,"Winston-Salem, NC",Forsyth County,292010.4369532603,58402.08739065206
8718,8745,28753,NC,Marshall,"Asheville, NC",Madison County,287329.8303364828,57465.96606729656
8736,8763,28202,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,468478.0548052651,93695.61096105303
8774,8801,27944,NC,Hertford,"Elizabeth City, NC",Perquimans County,245226.3530926532,49045.270618530645
8850,8879,28580,NC,Snow Hill,,Greene County,153325.98942014956,30665.197884029913
8881,8911,28345,NC,Hamlet,"Rockingham, NC",Richmond County,87194.67649637953,17438.935299275905
8882,8912,27910,NC,Ahoskie,,Hertford County,74299.45885612733,14859.891771225466
8956,8986,28650,NC,Maiden,"Hickory-Lenoir-Morganton, NC",Catawba County,245533.96502973363,49106.79300594673
9000,9030,28457,NC,Rocky Point,"Wilmington, NC",Pender County,313180.2736940779,62636.05473881558
9010,9039,27301,NC,Mc Leansville,"Greensboro-High Point, NC",Guilford County,256331.54357071343,51266.30871414269
9014,9044,28723,NC,Cullowhee,"Cullowhee, NC",Jackson County,377215.6131121901,75443.12262243802
9060,9093,28170,NC,Wadesboro,"Charlotte-Concord-Gastonia, NC-SC",Anson County,88629.55480753123,17725.910961506244
9068,9099,28516,NC,Beaufort,"Morehead City, NC",Carteret County,354184.3630177902,70836.87260355805
9163,9197,27948,NC,,"Kill Devil Hills, NC",Dare County,474656.1167068321,94931.22334136642
9207,9241,27958,NC,Moyock,"Virginia Beach-Norfolk-Newport News, VA-NC",Currituck County,444197.4025264037,88839.48050528075
9232,9266,27828,NC,Farmville,"Greenville, NC",Pitt County,177488.64599585815,35497.729199171634
9234,9268,28621,NC,Elkin,"Mount Airy, NC",Surry County,184510.0896972752,36902.01793945504
9262,9296,27298,NC,Liberty,"Greensboro-High Point, NC",Randolph County,210195.8898904684,42039.17797809368
9307,9342,28467,NC,,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,341906.10844377265,68381.22168875454
9317,9351,28333,NC,Dudley,"Goldsboro, NC",Wayne County,87400.82454813569,17480.16490962714
9330,9365,28166,NC,Troutman,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,397370.2467708457,79474.04935416915
9365,9401,28337,NC,Elizabethtown,,Bladen County,109316.82891522405,21863.36578304481
9399,9436,27052,NC,Walnut Cove,"Winston-Salem, NC",Stokes County,181284.541962796,36256.908392559206
